score,probability
-48,0.0000000003
-41,0.0000000034
-40,0.0000000040
-39,0.0000000040
-38,0.0000000040
-37,0.0000000040
-34,0.0000000168
-33,0.0000000398
-32,0.0000000637
-31,0.0000000876
-30,0.0000001115
-29,0.0000000956
-28,0.0000000717
-27,0.0000000986
-26,0.0000002046
-25,0.0000003988
-24,0.0000007078
-23,0.0000011078
-22,0.0000014180
-21,0.0000015638
-20,0.0000016305
-19,0.0000017990
-18,0.0000022896
-17,0.0000035621
-16,0.0000059199
-15,0.0000091234
-14,0.0000126202
-13,0.0000158619
-12,0.0000184508
-11,0.0000204700
-10,0.0000233651
-9,0.0000295631
-8,0.0000413148
-7,0.0000597849
-6,0.0000846649
-5,0.0001133834
-4,0.0001419039
-3,0.0001677052
-2,0.0001923023
-1,0.0002222455
0,0.0002686837
1,0.0003449997
2,0.0004609884
3,0.0006173611
4,0.0008045289
5,0.0010065755
6,0.0012090238
7,0.0014108794
8,0.0016357654
9,0.0019337227
10,0.0023716642
11,0.0030142899
12,0.0039010814
13,0.0050284528
14,0.0063509841
15,0.0078094976
16,0.0093821120
17,0.0111450742
18,0.0133242938
19,0.0163096483
20,0.0206076492
21,0.0267270728
22,0.0350115900
23,0.0454562446
24,0.0575560100
25,0.0702361298
26,0.0819051016
27,0.0906610357
28,0.0946671617
29,0.0926547795
30,0.0844098577
31,0.0710232844
32,0.0547101613
33,0.0381905107
34,0.0238614386
35,0.0131346441
36,0.0062346457
37,0.0024725081
38,0.0007780714
39,0.0001763876
40,0.0000221229
