score	cdf
-48	0.0000000243
-41	0.0000002187
-40	0.0000004131
-39	0.0000006074
-38	0.0000008018
-37	0.0000009962
-34	0.0000016765
-33	0.0000030371
-32	0.0000050781
-31	0.0000077994
-30	0.0000112010
-29	0.0000139222
-28	0.0000159632
-27	0.0000186845
-26	0.0000234467
-25	0.0000316105
-24	0.0000452169
-23	0.0000656264
-22	0.0000901179
-21	0.0001159699
-20	0.0001444653
-19	0.0001736972
-18	0.0002058889
-17	0.0002510405
-16	0.0003178248
-15	0.0004137639
-14	0.0005402632
-13	0.0007044157
-12	0.0008916860
-11	0.0010892737
-10	0.0013029248
-9	0.0015461802
-8	0.0018415287
-7	0.0022304661
-6	0.0027737029
-5	0.0034857525
-4	0.0043562397
-3	0.0053586232
-2	0.0064612954
-1	0.0076264286
0	0.0088909550
1	0.0103800839
2	0.0122321100
3	0.0145764255
4	0.0174967952
5	0.0209844143
6	0.0248968910
7	0.0290782433
8	0.0334403808
9	0.0380040562
10	0.0431685231
11	0.0491424466
12	0.0561620708
13	0.0645406478
14	0.0742580412
15	0.0854316999
16	0.0985390496
17	0.1139934988
18	0.1323360120
19	0.1546686622
20	0.1838461930
21	0.2225123490
22	0.2756653512
23	0.3458455424
24	0.4334520456
25	0.5319900480
26	0.6329573510
27	0.7278450915
28	0.8098965078
29	0.8753822791
30	0.9236582810
31	0.9565115151
32	0.9770995686
33	0.9889512487
34	0.9951786582
35	0.9981340389
36	0.9993780130
37	0.9998303672
38	0.9999660734
39	0.9999962304
40	1.0000000000
