score,probability
0,0.1616587061
12,0.4264654228
28,0.2734297370
32,0.1205466281
36,0.0168500137
38,0.0010279901
40,0.0000213898
42,0.0000001123
44,0.0000000001
46,0.0000000000
48,0.0000000000
