score	cdf
0	0.0020633937
2	0.0020671507
3	0.0020824999
4	0.0021196546
5	0.0021947163
6	0.0023350470
7	0.0026253859
8	0.0031688150
9	0.0040949635
10	0.0055347334
11	0.0078946078
12	0.0119965859
13	0.0179941404
14	0.0276410249
15	0.0423554135
16	0.0645810398
17	0.0994388258
18	0.1496475358
19	0.2163666240
20	0.3083293175
21	0.4112317290
22	0.5090614919
23	0.5948389290
24	0.6718834809
25	0.7480256386
26	0.8311984255
27	0.9076309853
28	0.9630657545
29	0.9915118958
30	1.0000000000
