score,probability
0,0.0020633937
2,0.0000037570
3,0.0000153492
4,0.0000371546
5,0.0000750617
6,0.0001403307
7,0.0002903389
8,0.0005434291
9,0.0009261485
10,0.0014397699
11,0.0023598744
12,0.0041019781
13,0.0059975545
14,0.0096468845
15,0.0147143886
16,0.0222256263
17,0.0348577860
18,0.0502087100
19,0.0667190882
20,0.0919626936
21,0.1029024115
22,0.0978297628
23,0.0857774371
24,0.0770445519
25,0.0761421577
26,0.0831727869
27,0.0764325598
28,0.0554347692
29,0.0284461413
30,0.0084881042
