score,probability
0,0.0134389277
5,0.0000061581
6,0.0000010490
7,0.0000685936
8,0.0000175031
9,0.0004050228
10,0.0001394020
11,0.0021898669
12,0.0032974309
13,0.0062778363
14,0.0060700419
15,0.0163981426
16,0.0156308317
17,0.0361625416
18,0.0300519272
19,0.0635212372
20,0.0576716307
21,0.1068657205
22,0.1100320840
23,0.1100172512
24,0.1494954111
25,0.0605950376
26,0.1290157094
28,0.0639574579
30,0.0186731852
