score	cdf
0	0.0134389277
5	0.0134450857
6	0.0134461347
7	0.0135147283
8	0.0135322314
9	0.0139372542
10	0.0140766562
11	0.0162665231
12	0.0195639539
13	0.0258417902
14	0.0319118321
15	0.0483099747
16	0.0639408064
17	0.1001033480
18	0.1301552752
19	0.1936765124
20	0.2513481431
21	0.3582138636
22	0.4682459475
23	0.5782631988
24	0.7277586098
25	0.7883536475
26	0.9173693569
28	0.9813268148
30	1.0000000000
