score,probability
5,0.0000204951
6,0.0001024755
7,0.0003074265
8,0.0007173285
9,0.0014346570
10,0.0025823826
11,0.0042014955
12,0.0062510055
13,0.0086079420
14,0.0110673539
15,0.0133423100
16,0.0150638984
17,0.0159861779
18,0.0479585337
19,0.0451916952
20,0.1337032451
21,0.1697943778
22,0.1860746395
23,0.1351256311
24,0.0908221455
25,0.0558223919
26,0.0310124399
27,0.0155062200
28,0.0066455228
29,0.0022151743
30,0.0004430349
