score	cdf
5	0.0000204951
6	0.0001229706
7	0.0004303971
8	0.0011477256
9	0.0025823826
10	0.0051647652
11	0.0093662606
12	0.0156172661
13	0.0242252081
14	0.0352925620
15	0.0486348720
16	0.0636987704
17	0.0796849484
18	0.1276434821
19	0.1728351773
20	0.3065384224
21	0.4763328002
22	0.6624074397
23	0.7975330708
24	0.8883552163
25	0.9441776081
26	0.9751900481
27	0.9906962680
28	0.9973417909
29	0.9995569651
30	1.0000000000
