score,probability
0,0.0000042544
10,0.0002029916
12,0.0035115080
14,0.0283143381
16,0.1209958635
18,0.2841218999
20,0.3432180211
22,0.1831388019
24,0.0347469782
26,0.0017312409
28,0.0000140969
30,0.0000000054
