score	cdf
-48	0.0000000028
-41	0.0000000251
-40	0.0000000473
-39	0.0000000696
-38	0.0000000919
-37	0.0000001209
-34	0.0000002060
-33	0.0000003848
-32	0.0000006688
-31	0.0000010734
-30	0.0000016200
-29	0.0000020654
-28	0.0000024097
-27	0.0000028514
-26	0.0000036412
-25	0.0000050573
-24	0.0000076539
-23	0.0000118348
-22	0.0000171065
-21	0.0000229232
-20	0.0000289794
-19	0.0000353325
-18	0.0000425942
-17	0.0000534352
-16	0.0000713801
-15	0.0000989667
-14	0.0001372525
-13	0.0001857448
-12	0.0002414130
-11	0.0003005170
-10	0.0003641354
-9	0.0004397344
-8	0.0005405464
-7	0.0006835388
-6	0.0008858282
-5	0.0011548962
-4	0.0014849166
-3	0.0018626094
-2	0.0022765050
-1	0.0027280029
0	0.0032454473
1	0.0038910000
2	0.0047468119
3	0.0058936892
4	0.0073866723
5	0.0092375531
6	0.0113987025
7	0.0137955763
8	0.0163863188
9	0.0192136657
10	0.0224377883
11	0.0263331751
12	0.0312315013
13	0.0374031933
14	0.0449686236
15	0.0538856017
16	0.0640371047
17	0.0754215083
18	0.0884530446
19	0.1042411283
20	0.1247339483
21	0.1526329749
22	0.1910697671
23	0.2430818748
24	0.3110266912
25	0.3949732712
26	0.4916322073
27	0.5945570975
28	0.6953742431
29	0.7858660013
30	0.8601153469
31	0.9156898490
32	0.9534934574
33	0.9767502658
34	0.9896051119
35	0.9959215567
36	0.9986338661
37	0.9996274180
38	0.9999254836
39	0.9999917204
40	1.0000000000
