score,probability
-48,0.0000000028
-41,0.0000000223
-40,0.0000000223
-39,0.0000000223
-38,0.0000000223
-37,0.0000000291
-34,0.0000000851
-33,0.0000001788
-32,0.0000002840
-31,0.0000004046
-30,0.0000005466
-29,0.0000004454
-28,0.0000003443
-27,0.0000004417
-26,0.0000007897
-25,0.0000014161
-24,0.0000025966
-23,0.0000041810
-22,0.0000052717
-21,0.0000058167
-20,0.0000060562
-19,0.0000063531
-18,0.0000072617
-17,0.0000108409
-16,0.0000179449
-15,0.0000275866
-14,0.0000382859
-13,0.0000484923
-12,0.0000556682
-11,0.0000591040
-10,0.0000636184
-9,0.0000755990
-8,0.0001008120
-7,0.0001429924
-6,0.0002022894
-5,0.0002690680
-4,0.0003300205
-3,0.0003776928
-2,0.0004138956
-1,0.0004514979
0,0.0005174444
1,0.0006455527
2,0.0008558118
3,0.0011468773
4,0.0014929831
5,0.0018508808
6,0.0021611494
7,0.0023968738
8,0.0025907424
9,0.0028273469
10,0.0032241226
11,0.0038953868
12,0.0048983261
13,0.0061716920
14,0.0075654303
15,0.0089169781
16,0.0101515029
17,0.0113844037
18,0.0130315363
19,0.0157880837
20,0.0204928199
21,0.0278990267
22,0.0384367922
23,0.0520121077
24,0.0679448164
25,0.0839465800
26,0.0966589361
27,0.1029248901
28,0.1008171457
29,0.0904917581
30,0.0742493456
31,0.0555745021
32,0.0378036084
33,0.0232568084
34,0.0128548461
35,0.0063164448
36,0.0027123094
37,0.0009935519
38,0.0002980656
39,0.0000662368
40,0.0000082796
