score,probability
0,0.0162056561
8,0.0000955948
10,0.0007515064
12,0.0045961260
14,0.0144216058
16,0.0439174625
18,0.0840656960
20,0.1453967478
22,0.2137802580
24,0.2191310694
26,0.1504071213
28,0.0809372938
30,0.0262938621
